appid;name;release_year;release_date;genres;categories;price;recommendations;developer;publisher;genres_split
1605010;Adorable Witch;2021;Jun 16, 2021;Unspecified;"Single-player;Steam Achievements;Family Sharing";1.99;1541;Lovely Games;Lovely Games;['Unspecified']
3326660;Sofia in Exchange for Lies;2025;Jul 2, 2025;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";34.99;127;"MUTAN;storynote";MUTAN;['Unspecified']
2533950;Hot And Lovely ：Uniform;2023;Sep 22, 2023;Unspecified;"Single-player;Family Sharing";3.99;234;Lovely Games;Lovely Games;['Unspecified']
1847160;Johnny Boy: Red Moon's Kiss - Episode 1;2022;Jan 31, 2022;Unspecified;"Single-player;Full controller support;Family Sharing";5.99;0;Solocub Entertainment;Solocub Entertainment;['Unspecified']
2116890;Zodiac fantasy 2;2022;Nov 23, 2022;Unspecified;"Single-player;Steam Achievements;Family Sharing";2.99;201;Lovely Games;Lovely Games;['Unspecified']
2281480;Battle Grid;2023;Oct 25, 2023;Unspecified;"Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing";5.99;197;Barking Dogs;"Barking Dogs;Electronic Sheep Games";['Unspecified']
1846820;Age of Empires IV Content Editor;2022;Apr 7, 2022;Unspecified;Family Sharing;0.0;169;Unknown;Unknown;['Unspecified']
2211520;Doomed Survivors;2023;Jun 8, 2023;Unspecified;"Single-player;Full controller support;Family Sharing";4.99;0;Unicorn Den;Unicorn Den;['Unspecified']
2272050;Fairy Biography3 : Obsession;2023;Mar 24, 2023;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";6.99;288;lovelygames;lovelygames;['Unspecified']
2271980;Adorable Witch5 : Lingering;2023;May 19, 2023;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";8.99;433;lovelygames;lovelygames;['Unspecified']
2728330;HZ_SERVER;2024;Mar 6, 2024;Unspecified;Family Sharing;0.0;0;Unknown;Unknown;['Unspecified']
2511030;Deep Secret;2023;Oct 20, 2023;Unspecified;"Single-player;Family Sharing";3.99;311;Lovely Games;Lovely Games;['Unspecified']
2206150;Hot And Lovely ：Charm;2023;Feb 16, 2023;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";4.99;568;Lovely Games;Lovely Games Hentai Club;['Unspecified']
